datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A;A1;A2;A3;B;B1;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10
09.03.2025;Oberbürgermeisterwahl;06414000;2111;2111 Evangelisches Gemeindezentrum;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2112;2112 Adolf-Reichwein-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2211;2211 Ev. Bodelschwinghgemeinde;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2311;2311 Ernst-Göbel-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2312;2312 Ernst-Göbel-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2411;2411 Peter-Rosegger-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2412;2412 Peter-Rosegger-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2511;2511 Grundschule Nordenstadt;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2512;2512 Grundschule Nordenstadt;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2513;2513 Grundschule Nordenstadt;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2521;2521 Grundschule Nordenstadt;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2522;2522 Grundschule Nordenstadt;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2523;2523 Grundschule Nordenstadt;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2611;2611 Bürgerhaus Delkenheim;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2612;2612 Bürgerhaus Delkenheim;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2613;2613 Karl-Gärtner-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2711;2711 Erich-Kästner-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2712;2712 Erich-Kästner-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2713;2713 Erich-Kästner-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2721;2721 Erich-Kästner-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2731;2731 Joseph-von-Eichendorff-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2732;2732 Joseph-von-Eichendorff-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2811;2811 Alfred-Delp-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;2812;2812 Alfred-Delp-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;3111;3111 Forum;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;3112;3112 Kellerskopfhalle Naurod;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;3113;3113 Forum;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;3211;3211 Ehemalige Katholische Kirche;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;3212;3212 Ortsverwaltung Auringen;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;3213;3213 Mehrzweckhalle;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;3311;3311 Bürgerhaus Medenbach;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;3312;3312 Bürgerhaus Medenbach;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;3411;3411 Evangelisches Gemeindehaus;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;3412;3412 Neue Grundschule Breckenheim;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;3413;3413 Neue Grundschule Breckenheim;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;5111;5111 Johann-Hinrich-Wichern-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;5211;5211 Bürgerhaus Mz-Kastel;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;5212;5212 Bürgerhaus Mz-Kastel;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;5221;5221 Kindertagesstätte AWO;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;5222;5222 Kindertagesstätte AWO;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;5261;5261 Kindertagesstätte Kastel;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;5262;5262 Krautgartenschule -Im Sampel;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;5311;5311 Bürgerhaus Mz-Kostheim;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;5312;5312 Bürgerhaus Mz-Kostheim;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;5321;5321 Brüder-Grimm-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;5322;5322 Brüder-Grimm-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;5323;5323 Brüder-Grimm-Schule;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;5324;5324 Bürgerhaus Mz-Kostheim;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;5331;5331 Ortsverwaltung Kastel/Kostheim;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;5332;5332 Krautgartenschule -Im Sampel;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;99011;B99011 Briefwahlbezirk;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;99012;B99012 Briefwahlbezirk;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;99013;B99013 Briefwahlbezirk;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;99014;B99014 Briefwahlbezirk;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;99015;B99015 Briefwahlbezirk;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;99021;B99021 Briefwahlbezirk;1;0;;;;;;;;;;;;;;;;;;
09.03.2025;Oberbürgermeisterwahl;06414000;99022;B99022 Briefwahlbezirk;1;0;;;;;;;;;;;;;;;;;;
