datum;ags;Bezirk-Nr;Bezirk-Name;Bezirk-Art;Wahlraum-Bezeichnung;Wahlraum-Adresse;Wahlraum-Barrierefrei;Wahlraum-Barrierefrei-Ergaenzung
09.03.2025;06414000;1531;1531 Diesterwegschule;W;Diesterwegschule, Eing. Baumstr. Geb. C, Zi. C 4;Waldstraße 52, 65187 Wiesbaden;ja;
09.03.2025;06414000;1541;1541 Diesterwegschule;W;Diesterwegschule, Eing. Baumstr. Geb. C, Zi. C 4;Waldstraße 52, 65187 Wiesbaden;ja;
09.03.2025;06414000;1542;1542 Diesterwegschule;W;Diesterwegschule, Eing. Baumstr. Geb. B, Zi. 14;Waldstraße 52, 65187 Wiesbaden;ja;
09.03.2025;06414000;1543;1543 Diesterwegschule;W;Diesterwegschule, Eing. Baumstr. Geb. B, Zi. 14;Waldstraße 52, 65187 Wiesbaden;ja;
09.03.2025;06414000;1551;1551 Gymnasium am Mosbacher Berg;W;Gymnasium am Mosbacher Berg, Geb. M, Zimmer M 23;Mosbacher Straße 59, 65187 Wiesbaden;ja;
09.03.2025;06414000;1552;1552 Ev. Heilig-Geist-Kirchengemeinde;W;Ev. Heilig-Geist-Kirchengemeinde, Gemeindesaal, Unterkirche;Drususstraße 26, 65187 Wiesbaden;ja;
09.03.2025;06414000;1581;1581 Grundschule Sauerland;W;Grundschule Sauerland, Seiteneing., rechts, EG, Foyer;Föhrer Straße 78, 65199 Wiesbaden;ja;
09.03.2025;06414000;1611;1611 Helen-Keller-Schule;W;Helen-Keller-Schule, Zimmer 6;Landgrabenstraße 9, 65199 Wiesbaden;nein;
09.03.2025;06414000;1612;1612 Philipp-Reis-Schule;W;Philipp-Reis-Schule, Zimmer 1;Mühlborngasse 17, 65199 Wiesbaden;nein;
09.03.2025;06414000;1613;1613 Philipp-Reis-Schule;W;Philipp-Reis-Schule, Zimmer 4;Mühlborngasse 17, 65199 Wiesbaden;nein;
09.03.2025;06414000;1621;1621 Kohlheckschule;W;Kohlheckschule, Zimmer 1;Kohlheckstraße 43, 65199 Wiesbaden;nein;
09.03.2025;06414000;1622;1622 Kohlheckschule;W;Kohlheckschule, Zimmer 4;Kohlheckstraße 43, 65199 Wiesbaden;nein;
09.03.2025;06414000;1623;1623 Kohlheckschule;W;Kohlheckschule, Zimmer 3;Kohlheckstraße 43, 65199 Wiesbaden;nein;
09.03.2025;06414000;1624;1624 Freie Christliche Schule;W;Freie Christliche Schule, EG, E.5;Finkenweg 2, 65199 Wiesbaden;nein;
09.03.2025;06414000;1641;1641 Grundschule Sauerland;W;Grundschule Sauerland, Seiteneing, rechts, EG, Foyer;Föhrer Straße 78, 65199 Wiesbaden;ja;
09.03.2025;06414000;1642;1642 Grundschule Sauerland;W;Grundschule Sauerland, Seiteneing., EG, Raum 05;Föhrer Straße 78, 65199 Wiesbaden;ja;
09.03.2025;06414000;1651;1651 Kinderhaus Freudenberg;W;Kinderhaus Freudenberg, Turnhalle;Butterblumenweg 5, 65201 Wiesbaden;nein;
09.03.2025;06414000;1661;1661 Stadtteilz. Schelmengraben;W;Stadtteilz. Schelmengraben, EG, Zi. 1.12, Saal links;Karl-Marx-Straße 1, 65199 Wiesbaden;ja;
09.03.2025;06414000;1662;1662 Stadtteilz. Schelmengraben;W;Stadtteilz. Schelmengraben, EG, Zi 1.12, Saal links;Karl-Marx-Straße 1, 65199 Wiesbaden;ja;
09.03.2025;06414000;1681;1681 Helen-Keller-Schule;W;Helen-Keller-Schule, Zimmer 10;Landgrabenstraße 9, 65199 Wiesbaden;nein;
09.03.2025;06414000;1691;1691 Joseph-von-Eichendorff-Schule;W;Joseph-von-Eichendorff-Schule, Neubau, UG, Mehrzweckraum -121;Otto-Reutter-Straße 5, 65201 Wiesbaden;ja;
09.03.2025;06414000;2111;2111 Evangelisches Gemeindezentrum;W;Evangelisches Gemeindezentrum, Gemeindesaal;Kirchweg 1, 65207 Wiesbaden;nein;
09.03.2025;06414000;2112;2112 Adolf-Reichwein-Schule;W;Adolf-Reichwein-Schule, Zimmer 4;Trompeterstraße 51, 65207 Wiesbaden;nein;
09.03.2025;06414000;2211;2211 Ev. Bodelschwinghgemeinde;W;Ev. Bodelschwinghgemeinde, Gemeindehaus;Jagdweg 2, 65207 Wiesbaden;ja;
09.03.2025;06414000;2311;2311 Ernst-Göbel-Schule;W;Ernst-Göbel-Schule, Haupteing. Neubau, EG, Zi. 17;Heßlocher Straße 29, 65207 Wiesbaden;ja;
09.03.2025;06414000;2312;2312 Ernst-Göbel-Schule;W;Ernst-Göbel-Schule, Haupteing. Neubau, EG, Zi. 19;Heßlocher Straße 29, 65207 Wiesbaden;ja;
09.03.2025;06414000;2411;2411 Peter-Rosegger-Schule;W;Peter-Rosegger-Schule, Neubau, DG, Versammlungsraum;Hauptstraße 13 bis 15, 65207 Wiesbaden;ja;
09.03.2025;06414000;2412;2412 Peter-Rosegger-Schule;W;Peter-Rosegger-Schule, Neubau, DG, Versammlungsraum;Hauptstraße 13 bis 15, 65207 Wiesbaden;ja;
09.03.2025;06414000;2511;2511 Grundschule Nordenstadt;W;Grundschule Nordenstadt, Raum 017, Mensa;An der Schule 1, 65205 Wiesbaden;ja;
09.03.2025;06414000;2512;2512 Grundschule Nordenstadt;W;Grundschule Nordenstadt, Erdgeschoss, Raum 004;An der Schule 1, 65205 Wiesbaden;ja;
09.03.2025;06414000;2513;2513 Grundschule Nordenstadt;W;Grundschule Nordenstadt, Erdgeschoss, Raum 002;An der Schule 1, 65205 Wiesbaden;ja;
