datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;D1;D2;D3;D4
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91004;91004 - Briefwahlbezirk 4;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91005;91005 - Briefwahlbezirk 5;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91006;91006 - Briefwahlbezirk 6;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91007;91007 - Briefwahlbezirk 7;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91008;91008 - Briefwahlbezirk 8;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91009;91009 - Briefwahlbezirk 9;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91010;91010 - Briefwahlbezirk 10;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91011;91011 - Briefwahlbezirk 11;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91012;91012 - Briefwahlbezirk 12;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91013;91013 - Briefwahlbezirk 13;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91014;91014 - Briefwahlbezirk 14;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91015;91015 - Briefwahlbezirk 15;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91016;91016 - Briefwahlbezirk 16;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91017;91017 - Briefwahlbezirk 17;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91018;91018 - Briefwahlbezirk 18;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91019;91019 - Briefwahlbezirk 19;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91020;91020 - Briefwahlbezirk 20;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91021;91021 - Briefwahlbezirk 21;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91022;91022 - Briefwahlbezirk 22;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91023;91023 - Briefwahlbezirk 23;1;0;;;;;;;;;;;;
17.09.2023;Wahl zur Oberbürgermeisterin / zum Oberbürgermeister;06413000;91024;91024 - Briefwahlbezirk 24;1;0;;;;;;;;;;;;
